Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
valentine-no-8-necklace-set,Valentine No. 8 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage Dish Rose on a sterling chain, 22 inches<br>- Pearl Choker, 16 inches<br>- Turquoise Bead Necklace, 18 inches</p>
<p>This necklace set can be gift wrapped if requested.</p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,1,deny,manual,225,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/EFC3FEBD-0E3C-4561-AED7-B5A6B36CAC53.jpg?v=1580834457,1,,FALSE,,,,,,,,,,,,,,,,,lb,,75
valentine-no-7-necklace-set,Valentine No. 7 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage Dish Rose on a sterling chain, 18 inches<br>- Turquoise and Quartz Caroline Necklace, 14 inches<br>- 3 strand Turquoise Necklace, 16 inches</p>
<p>This necklace set can be gift wrapped if requested.</p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,1,deny,manual,235,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/160D639D-83CC-48A6-81D2-122138D874DC.jpg?v=1580833909,1,,FALSE,,,,,,,,,,,,,,,,,lb,,75
valentine-no-6-necklace-set,Valentine No. 6 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage Dish Heart on a pearl chain, 16 inches<br>- Love Bird Necklace, 14 inches<br>- 3 strand Turquoise Necklace, 16 inches</p>
<p>This necklace set can be gift wrapped if requested.</p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,1,deny,manual,250,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/12D1E810-46E2-49FB-8A2C-7DE3A73BF9E0.jpg?v=1580833559,1,,FALSE,,,,,,,,,,,,,,,,,lb,,75
valentine-no-5-necklace-set,Valentine No. 5 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage Dish Heart on a sterling chain, 18 inches<br>- Silver Arrow Choker, 14 inches<br>- Green Turquoise Necklace, 16 inches</p>
<p>This necklace set can be gift wrapped if requested.</p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,0,deny,manual,105,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/C604AEDA-0C8A-438B-961D-1B21D335C465.jpg?v=1580833311,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
valentine-no-4-necklace-set,Valentine No. 4 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage Dish Heart on a sterling chain, 20 inches<br>- Goddess Choker, 18 inches<br>- Aqua Necklace, 16 inches</p>
<p>This necklace set can be gift wrapped if requested.</p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,0,deny,manual,125,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/16EBF617-32D0-4C48-A0BE-9F2FC747067D.jpg?v=1580833158,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
valentine-no-3-necklace-set,Valentine No. 3 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage Dish peach rose on a sterling chain, 18 inches<br>- Turquoise Choker, 14 inches<br></p>
<p>This necklace set can be gift wrapped if requested.</p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,-1,deny,manual,85,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/34A6B9A9-157D-4AB4-A1CE-AEF20DC7AA6B.jpg?v=1580832666,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
valentine-no-2-necklace-set,Valentine No. 2 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage Dish Rose on sterling chain, 14inches<br>- Turquoise Choker, 16 inches adjustable<br></p>
<p>This necklace set can be gift wrapped if requested.</p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,0,deny,manual,75,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/1E919E79-E402-4F84-9175-3BC377C2FE9E.jpg?v=1580832566,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
valentine-no-1-necklace-set,Valentine No. 1 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage Dish Pink Daisy on braided chain, 18 inches<br>- Olive and Pearl Choker 14 inches<br></p>
<p>This necklace set can be gift wrapped if requested.</p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,0,deny,manual,75,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/F476C355-9981-461F-9905-3595EDBA8786.jpg?v=1580832136,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
winter-no-7-necklace-set,Winter No. 7 | Necklace Set,"<p>Hand picked by Jazlyn. These necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Fire Bauble Necklace, 25 inches<br>- Vintage Dish Necklace, 18 inches<br></p>
<p><br></p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,1,deny,manual,225,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/set2.jpg?v=1580233084,1,,FALSE,,,,,,,,,,,,,,,,,lb,,79
winter-no-6-necklace-set,Winter No. 6 | Necklace Set,"<p>Hand picked by Jazlyn. These necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Connie Necklace, 28 inches<br>- Turquoise Pontiac, 18 inches<br>- Pearl Choker, 14 inches</p>
<p><br></p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,1,deny,manual,290,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/set3.jpg?v=1580232977,1,,FALSE,,,,,,,,,,,,,,,,,lb,,100
