Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
bronx-ring-2-adjustable-1,Bronx Ring #2 |Adjustable,<p><span>Gorgeous light blue with Brown turquoise stones set in sterling silver. Measures 2 inches tall. This ring is adjustable. </span></p>,Goldie Lew,,,TRUE,Title,Default Title,,,,,,28,shopify,1,deny,manual,720,720,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,oz,,240
bronx-ring-2-adjustable,Bronx Ring #2 | Adjustable,Gorgeous light blue turquoise stones set in sterling silver. Measures 2 inches tall. This ring is adjustable.,Goldie Lew,Rings,,TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,720,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC02840.jpg?v=1580579540,1,,FALSE,,,,,,,,,,,,,,,,,lb,,240
bronx-ring-2-adjustable,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC02833.jpg?v=1580579540,2,,,,,,,,,,,,,,,,,,,,,
white-opal-band,White Opal Band,The perfect band that goes with everything. Whit opal inlayed with sterling silver.,Goldie Lew,Rings,,TRUE,Size,7,,,,,,45,shopify,0,deny,manual,39,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/image_3b28947b-d51f-4252-85c2-250bcd8537d3.jpg?v=1580574234,1,,FALSE,,,,,,,,,,,,,,,,,lb,,13
white-opal-band,,,,,,,,7.5,,,,,,45,shopify,0,deny,manual,39,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/image_081769bd-fb38-4287-a8e1-9f23c7293e9a.jpg?v=1580574236,2,,,,,,,,,,,,,,,,,,,lb,,13
white-opal-band,,,,,,,,8,,,,,,45,shopify,0,deny,manual,39,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC03117.jpg?v=1580580735,3,,,,,,,,,,,,,,,,,,,lb,,13
white-opal-band,,,,,,,,8.5,,,,,,45,shopify,0,deny,manual,39,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,13
the-rheny-lt-blue-turquoise-size-9,The Rheny | Lt. Blue Turquoise | Size 9,Unique light blue turquoise stones set into sterling silver. Measures 1.5 inches. Size 9.,Goldie Lew,Rings,,TRUE,Size,Adjustable band,,,,,,45,shopify,1,deny,manual,660,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/CC4A5AF7-4A3A-4E2C-9F08-EACA21938D18.jpg?v=1580489177,1,,FALSE,,,,,,,,,,,,,,,,,lb,,220
the-rheny-lt-blue-turquoise-size-9,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/36FE10CE-46FC-4442-85E4-4B4F23635CBD.jpg?v=1580489177,2,,,,,,,,,,,,,,,,,,,,,
the-rheny-lt-blue-turquoise-size-9,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC02935_22d97863-3f31-4daa-8a77-5eb3f6885edb.jpg?v=1580580776,3,,,,,,,,,,,,,,,,,,,,,
the-rheny-green-turquoise-size-10,The Rheny | Green Turquoise | Size 10,Unique blue green turquoise stones set into sterling silver. Measures 1.5 inches. Size 10.,Goldie Lew,Rings,,TRUE,Size,10,,,,,,45,shopify,1,deny,manual,265,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/CFDC303D-3879-4FA2-BF56-E82701932134.jpg?v=1580580827,1,,FALSE,,,,,,,,,,,,,,,,,lb,,88
the-rheny-green-turquoise-size-10,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/2B3746CE-D2ED-490C-9310-4A98A4583649.jpg?v=1580580827,2,,,,,,,,,,,,,,,,,,,,,
